date,lightgbm,lstm,ensemble
2018-01-16,-0.0018485058246727197,0.0299389359926196,0.024414955398055365
2018-01-17,0.06106956244599664,0.10986029960901462,0.09970291213372696
2018-01-18,-0.09402999575583036,-0.08332601150990643,-0.11929577929572552
2018-01-19,-0.027800553830570052,-0.1147036858059131,-0.08829739623433162
2018-01-22,-0.1975664190646705,-0.05426569432851557,-0.13698005764769422
2018-01-23,-0.32296848552073715,-0.21775468962790492,-0.31931356405287237
2018-01-24,-0.19750742607961866,-0.06270043491631155,-0.15947325505488455
2018-01-25,-0.04726763733495279,0.10834468215964504,0.03745702957908966
2018-01-26,0.08588096762048389,0.1456640161665861,0.13257110855394902
2018-01-29,-0.02811279720838929,0.08890524096120898,0.023267691036145163
2018-01-30,-0.020482574221676,0.03695690374730923,0.003036809648644192
2018-01-31,0.04890936552255153,0.042327461230944954,0.0722795630167382
2018-02-01,-0.09847639675984908,-0.09094802969731582,-0.13361815697498594
2018-02-02,-0.15028932693367358,-0.12128234415498836,-0.17672561732348577
2018-02-05,-0.21174521373626395,-0.04242630584720819,-0.17528281168424223
2018-02-06,-0.0684014498838823,-0.10492905153099327,-0.12411278389776287
2018-02-07,-0.17057059274673383,-0.2414334665905197,-0.2920053161591388
2018-02-08,-0.16741391811124304,-0.28371699688090324,-0.27667689001022017
2018-02-09,-0.16737020640865785,-0.21180204718183016,-0.22665692845956667
2018-02-12,-0.1411757236494536,-0.1613473619470193,-0.19009047363117154
2018-02-13,-0.11508472019988766,-0.061931643456486406,-0.10462874999360541
2018-02-14,0.07858409907628282,-0.06931204147080788,-0.011208158180682484
2018-02-15,-0.11567246559897855,-0.15595483899310283,-0.17154169516969264
2018-02-16,0.051604292195985654,0.022349866010631287,0.0383754678595194
2018-02-20,-0.11260696329951199,0.019318631111892106,-0.05670417291398654
2018-02-21,0.05401243565306742,0.15565324115191,0.14166275402690828
2018-02-22,-0.03472139691428165,0.21192285726837412,0.12705726010972995
2018-02-23,0.1289303806473172,0.10834468215964504,0.16415660586061792
2018-02-26,0.05406308023583271,0.19351579317313183,0.16074507694459939
2018-02-27,-0.08245925991149028,0.1202719325220753,0.038758817253679495
2018-02-28,-0.19279619018887936,-0.012564249000571102,-0.12576709863313618
2018-03-01,-0.12812368093563803,-0.10622501427755568,-0.16561048204752762
2018-03-02,-0.23261897313015545,-0.12294073716118262,-0.2531521142840278
2018-03-05,-0.1246770904414064,-0.14849756183279883,-0.20531041514409168
2018-03-06,-0.1608643105310769,-0.08591793700303124,-0.16869256265454527
2018-03-07,-0.2916297586091313,-0.22277379958704915,-0.33022424436565073
2018-03-08,-0.06902643052256367,0.03679216272020384,-0.031136823559269812
2018-03-09,0.12706707317758006,0.0459627465624039,0.12024294617121417
2018-03-12,0.011051980244989632,0.03456266748671089,0.03746252100697107
2018-03-13,0.05998272546926639,0.12000834687870668,0.11690023283398497
2018-03-14,0.108582872646242,-0.07675833589597153,0.038325517050096077
2018-03-15,0.11749348121410479,-0.12842112199622194,0.008292374869405083
2018-03-16,-0.06523603236992241,-0.22325703993322496,-0.1898326492012617
2018-03-19,0.15837366000490125,-0.2264639985942099,-0.025123558490410355
2018-03-20,0.19829134682699195,-0.12638931599525546,0.04258135022274639
2018-03-21,0.35235985297447836,0.019175855555067435,0.21456264848050158
2018-03-22,0.260931382622661,0.006512761938233098,0.16864730707778666
2018-03-23,0.17013594272594784,0.12445635461055221,0.18172632328725885
2018-03-26,0.14897279008093123,-0.08002020823265826,0.038320446394946125
2018-03-27,-0.060964713275137444,-0.18970478407942715,-0.1971136422117995
2018-03-28,0.04192082677773553,-0.12814655361771296,-0.05688617001004051
2018-03-29,0.0486422758848406,-0.08072310328164126,-0.017704363489662082
2018-04-02,0.1357570320076798,0.06932302420594826,0.1228336079373768
2018-04-03,0.17829532978713894,0.09411105741773931,0.1674039051057778
2018-04-04,0.07529731088810718,0.06746694196722752,0.06905622251109875
2018-04-05,0.061373518167128986,0.1570201643017177,0.12401768322899005
2018-04-06,0.07071634198884184,0.13563677898343804,0.12052552820935784
2018-04-09,0.059978826590140706,0.1570970434477002,0.14207185149778417
2018-04-10,0.10500819045116883,0.10339146861134296,0.13328464192087375
2018-04-11,0.08903064984324825,0.03828581469929271,0.09662538796502149
2018-04-12,0.053414104176607705,-0.0885208452312964,-0.010422844593398657
2018-04-13,-0.03687829087473223,-0.05756051487062338,-0.061130575175843145
2018-04-16,-0.07039513289107201,-0.04823617273645829,-0.06170768340600687
2018-04-17,0.09966538285527407,0.05747265298950051,0.13753943566671248
2018-04-18,0.11117417926509024,0.023459122259807584,0.10230614415359153
2018-04-19,0.15311249656975454,0.06237095286210078,0.134589775495038
2018-04-20,0.14857333965715985,0.14757501208100865,0.18577602541771224
2018-04-23,-0.05497935455076238,0.19762333611562624,0.05615857974751386
2018-04-24,-0.10048781064755904,0.21498704037253438,0.07559520378084349
2018-04-25,-0.1093727715625947,0.27090014497210385,0.10956707501215321
2018-04-26,-0.20450975794842874,0.2677810481922418,0.05158675680679837
2018-04-27,-0.06073583867830263,0.20602512849800114,0.09288328636357841
2018-04-30,-0.1305390218172985,0.23096692000175723,0.06685337728136737
2018-05-01,0.012171770506751903,0.24234503360716952,0.13948418314029157
2018-05-02,-0.14439733622612932,0.14369810657646181,-0.0058593696378149065
2018-05-03,-0.13867979106795122,-0.020724421209858103,-0.09087913720689463
2018-05-04,-0.16186225475066865,-0.134077230593507,-0.17973936980940267
2018-05-07,0.026802196105472,-0.16416992487809165,-0.08810115465737066
2018-05-08,0.14048495410084838,-0.1733624741905724,-0.009841044086662244
2018-05-09,0.14578404618143245,-0.05181654439221544,0.06332801574700167
2018-05-10,0.2771098896243324,0.012201818740939244,0.22600964371181098
2018-05-11,0.12909850636542297,-0.06300795150024162,0.06464048502930599
2018-05-14,0.08585583172984679,-0.171638184773536,-0.04661711528286841
2018-05-15,0.10948112298212552,-0.12271009972323507,-0.009071963407392192
2018-05-16,0.12911038801257857,-0.12006326055440847,0.0019934047411569364
2018-05-17,0.16063175147643638,-0.07803233317225322,0.062393946225127
2018-05-18,0.2712921341990676,-0.03611123314150156,0.14806435062106463
2018-05-21,0.17042024200783598,0.10159030004832403,0.1730363178894079
2018-05-22,0.04414395376146544,0.09072837499450863,0.07839034824724254
