name,ic_mean,ic_std,ic_ir,ic_tstat,ic_positive_rate,turnover_daily,quantile_spread_ann,quantile_spread_sharpe,monotonicity,n_obs
ep,0.032680724421577365,0.14277511306056007,0.22889650528741223,5.663379289421559,0.5827123695976155,0.07824557636488187,0.1083497265277867,0.8991508927860027,0.9999999999999999,2684
bb_pos,-0.015449318682088943,0.16892345657779162,-0.09145750978032062,-2.569112838487337,0.48174366616989567,2.1159207951025056,-0.18052711829641255,-1.126336999143118,-0.9999999999999999,2684
amihud,0.010655901581017434,0.11995726094452738,0.08883081771886332,2.3688471438099263,0.5294336810730254,0.24506981726551616,-0.005505937149478794,-0.052863449359285206,0.8999999999999998,2684
atr_21,0.020859709236128024,0.2514965034454841,0.0829423429365876,2.1946327223191915,0.5346497764530551,0.5298968605648771,0.1119424136125134,0.4635105159945593,0.9999999999999999,2684
vol_63,0.019468521678920953,0.25277426654497587,0.07701939736597728,2.018265527209013,0.5305514157973175,0.28769627051902336,0.09383664924942915,0.4066479043366385,0.9999999999999999,2684
sp,0.013250159744955966,0.17224634535609168,0.07692563646307495,1.8774332627729362,0.5093144560357675,0.07838001933198126,0.023429584083759957,0.1685803633231854,0.9999999999999999,2684
vol_21,0.017425700855289872,0.23033298724496143,0.07565438656321279,1.984332083436754,0.5290611028315947,0.77354751636696,0.07178992721061556,0.33063350256651064,0.9999999999999999,2684
rsi_14,-0.013009371834378634,0.1832587073144121,-0.0709891061932397,-2.0083173278946953,0.4951564828614009,1.5311556660154035,-0.20141053187993432,-1.1036004734448037,-0.9999999999999999,2684
mom_21,-0.012896592639189122,0.1860206492572507,-0.06932882285210301,-1.9550095930450135,0.47764530551415796,1.381856909479625,-0.1836338870960134,-0.9619469735090973,-0.8999999999999998,2684
rev_5,-0.012327777964867228,0.1809899225846276,-0.06811306280935604,-2.0609513300955777,0.47540983606557374,2.91472228603215,-0.21467951205456073,-1.1599490877979082,-0.8999999999999998,2684
idio_vol_21,0.009762753811306953,0.15395652718973638,0.06341240601819573,1.6832046919501045,0.5286885245901639,0.8298857970876883,0.027367788451393465,0.1824503302588797,0.9999999999999999,2684
skew_63,-0.007032641138632934,0.11791142978896511,-0.059643421771916234,-1.631194748569276,0.4839791356184799,0.6298182654092078,-0.11472147865488136,-1.0483794810288847,-0.39999999999999997,2684
sma_ratio_50,-0.010605996818013018,0.19363505316126314,-0.05477312420897332,-1.596059472228501,0.49552906110283157,1.0506972619947763,-0.17951401781878487,-0.8796353418144619,-0.8999999999999998,2684
max_dd_126,-0.011837942355605022,0.21981878796206866,-0.053853187279186275,-1.4653566644750518,0.4783904619970194,0.9062548511698659,-0.2517026285492078,-1.145684247029051,-0.9999999999999999,2684
sharpe_63,-0.009938005842472857,0.19467706582832656,-0.051048672837696034,-1.416636597681861,0.4891952309985097,0.800869102283786,-0.19329491314936245,-1.0522080767660558,-0.8999999999999998,2684
mom_63,-0.010158727851168134,0.20049910421257144,-0.05066719819554772,-1.4433766222207751,0.4977645305514158,0.7751902252504528,-0.1886293769142903,-0.9212088646931765,-0.39999999999999997,2684
bp,0.00820769409344073,0.16302727280698723,0.050345527788826235,1.2429676917307262,0.5089418777943369,0.07293464395412194,0.016585249560302502,0.12431304823565802,0.8999999999999998,2684
mom_252,0.010388726129034078,0.2352390264378968,0.04416242613457978,1.2256191537898387,0.5208643815201193,0.4063535141638344,-0.0666776105473414,-0.318511852436113,0.09999999999999999,2684
dist_52w_high,-0.009342539842065064,0.23062027106583152,-0.04051048851381411,-1.0776610572626337,0.4821162444113264,0.7259717448800621,-0.2451696812864007,-1.0917800937042874,-0.9999999999999999,2684
dol_vol_21,-0.004506002408889628,0.11496515044125598,-0.03919450713189882,-1.0603292279071344,0.4843517138599106,0.18744684348874377,-0.12254776053891389,-1.1714216681362672,-0.3,2684
rev_1,-0.006786519301937147,0.17648805614523733,-0.038453136434073,-1.8622626767263388,0.4843517138599106,2.9234685868461265,-0.16374320456001037,-0.9910189740738756,-0.7,2684
vol_trend,-0.0015577771413673091,0.07901442669605907,-0.019715097691710582,-0.5305104590678045,0.4828614008941878,2.177320051789348,-0.08712410039040462,-1.1084039689809337,0.6,2684
rev_gap,-0.002643627606209914,0.16845109419019058,-0.01569373959200949,-0.5084983945742424,0.4988822652757079,2.8487082024983863,-0.21341564616698364,-1.2988151363404647,-0.8999999999999998,2684
mom_126,0.0028297747597377915,0.22036472723899803,0.012841323542078223,0.36067595673846403,0.5320417287630402,0.5558026510096189,-0.11857470784522332,-0.5656456482087686,-0.09999999999999999,2684
vol_ratio,-0.001413856376997119,0.11505850130011364,-0.012288152209711797,-0.33146169333218006,0.4932935916542474,1.187878101449332,-0.11092158607173518,-1.1041012492191105,-0.49999999999999994,2684
mom_slope,0.0014085737175510403,0.21435560249715765,0.006571200851023793,0.17464146586790807,0.5152757078986587,0.26169132214612995,-0.12403644320953426,-0.6754702286280593,-0.8999999999999998,2684
vol_spike,-0.0001067539861371119,0.07457008396172674,-0.0014315926771908106,-0.04777365921514014,0.5126676602086438,2.752679872726494,-0.022009446907619846,-0.2931125819166388,0.8999999999999998,2684
