model,ic_mean,ic_std,ic_ir,ic_tstat,ic_positive_rate,n_days
lightgbm,0.016264530894048772,0.17814590148704748,0.09129893395403949,2.151915003692654,0.5280588776448942,2174
ensemble_causal,0.016569307219557513,0.20995851662799694,0.07891705221424715,1.8541413838646739,0.5243790248390064,2174
ensemble,0.016679164858502515,0.21473397582120235,0.07767361822793416,1.8249640205053794,0.5252989880404784,2174
ridge,0.014610727594821406,0.22419065687656076,0.06517099239718123,1.5357708394882699,0.5170193192272309,2174
