date,lightgbm,ridge,ensemble,ensemble_causal
2018-01-16,-0.059520993273979646,-0.015260414625543756,-0.03863653757249952,-0.03863653757249952
2018-01-17,0.03599572374707406,-0.0155939737653889,0.016411738325371714,0.016411738325371714
2018-01-18,0.014512958154310526,-0.07125641928508222,-0.022552106840012784,-0.022552106840012784
2018-01-19,-0.00247644434456705,-0.07549331469477816,-0.04181629430045524,-0.04181629430045524
2018-01-22,0.014434074762483274,-0.08365134728108432,-0.03725139410224255,-0.03725139410224255
2018-01-23,0.07538101283018715,-0.13933456517320575,-0.029995228375553483,-0.029995228375553483
2018-01-24,-0.1561203332569198,-0.15634382578108927,-0.17383476626022049,-0.17383476626022049
2018-01-25,-0.026486991865367068,-0.22324142448451734,-0.13844069128162054,-0.13844069128162054
2018-01-26,0.03049216488727403,-0.12804897575285945,-0.05270774833446159,-0.05270774833446159
2018-01-29,-0.013565970025585183,0.0014060094390854277,-0.006303600076528098,-0.006303600076528098
2018-01-30,-0.11501788723484063,-0.05028233278654566,-0.08708958162514006,-0.08708958162514006
2018-01-31,0.12431835707059044,-0.0350253902167572,0.05881818940452443,0.05881818940452443
2018-02-01,0.10079146397615779,0.017507712435623105,0.0654870079687782,0.0654870079687782
2018-02-02,0.0050926278943033134,-0.0015324239338955004,0.004317078864175443,0.004317078864175443
2018-02-05,-0.012858318543939894,-0.1906901281498609,-0.11460762161185797,-0.11460762161185797
2018-02-06,0.049280481059699184,0.013243496303402675,0.03334354598195904,0.03334354598195904
2018-02-07,-0.08716609095337002,0.023369406390137668,-0.03881658829494787,-0.03881658829494787
2018-02-08,-0.0329297555131313,0.09790347051545469,0.03617686125886653,0.03617686125886653
2018-02-09,0.049544897239375434,0.12808178301300532,0.09334615395418351,0.09334615395418351
2018-02-12,0.016572593061208493,0.18046982683813032,0.1050584404787908,0.1050584404787908
2018-02-13,-0.09961616625331011,-0.02173744114567879,-0.06707430306891954,-0.06707430306891954
2018-02-14,-0.009403817456098952,-0.00024342322021264656,-0.009312309968531569,-0.009312309968531569
2018-02-15,0.011473023586516551,0.13663955122355403,0.08310407834217097,0.08310407834217097
2018-02-16,-0.03952804572861789,0.06444790307861986,0.01491957155598211,0.01491957155598211
2018-02-20,-0.004009539970818894,-0.007395126145458385,-0.00705895921140755,-0.00705895921140755
2018-02-21,0.03923300432764711,-0.032131296222686276,0.006069697387408639,0.006069697387408639
2018-02-22,0.06402991842973033,0.08647008436952396,0.08391527663267725,0.08391527663267725
2018-02-23,0.06246905424394941,0.0002912344151518036,0.03970802028859584,0.03970802028859584
2018-02-26,0.08452012383900928,0.1307157693190534,0.12305480976253161,0.12305480976253161
2018-02-27,0.06115519625571748,0.14296284269870507,0.11511068474035097,0.11511068474035097
2018-02-28,-0.059366360801482485,0.08404156332752954,0.014342425793829909,0.014342425793829909
2018-03-01,0.0440819845593134,0.15628225440742585,0.11188313507508718,0.11188313507508718
2018-03-02,-0.08367100038828461,0.11244196061006842,0.015866971689216837,0.015866971689216837
2018-03-05,-0.039961707320097746,0.0051842750542852424,-0.02262345629347458,-0.02262345629347458
2018-03-06,-0.0385521707811647,-0.11689753377013463,-0.09164401924063692,-0.09164401924063692
2018-03-07,-0.027447475066759593,-0.14568608554365367,-0.10084049609309739,-0.10084049609309739
2018-03-08,0.08457196602825007,-0.1628196328498088,-0.044702955838122616,-0.044702955838122616
2018-03-09,0.019944912909031404,-0.21325281333484403,-0.11202083190940028,-0.11202083190940028
2018-03-12,-0.11576613438470344,-0.2482466100539868,-0.20582793278488465,-0.20582793278488465
2018-03-13,-0.02984469820804894,-0.06526371957249007,-0.051945812902508146,-0.051945812902508146
2018-03-14,-0.03291172831557673,-0.1531418270172826,-0.1025722161251703,-0.1025722161251703
2018-03-15,-0.06107748895694187,-0.20603843935975455,-0.14984991606635933,-0.14984991606635933
2018-03-16,-0.10131452980925881,-0.16280194156276767,-0.15103159413245162,-0.15103159413245162
2018-03-19,-0.05809785073256484,-0.226917517173425,-0.16303870186863378,-0.16303870186863378
2018-03-20,-0.06735431281106713,-0.24294224018721414,-0.16938553197280312,-0.16938553197280312
2018-03-21,0.045531215758995866,-0.12599208370889994,-0.0398420141075557,-0.0398420141075557
2018-03-22,-0.04980937217791424,-0.26004037252588963,-0.17528024611425622,-0.17528024611425622
2018-03-23,-0.0037103555612784753,-0.23597176112283688,-0.13432929993184312,-0.13432929993184312
2018-03-26,0.11624720774385704,0.024038204222395155,0.08253671905360083,0.08253671905360083
2018-03-27,0.055570012148763566,0.11677828226560444,0.09088863849214691,0.09088863849214691
2018-03-28,-0.18145858451392594,-0.340885469655677,-0.29004239343223226,-0.29004239343223226
2018-03-29,-0.03253052677852097,-0.0710987092946078,-0.05801722828332975,-0.05801722828332975
2018-04-02,0.14894027499205384,0.22996637871294673,0.20068626729291467,0.20068626729291467
2018-04-03,0.017296538623626134,0.025634229912185304,0.013881769818500036,0.013881769818500036
2018-04-04,0.17309956312317182,0.29366008917472647,0.248381872629887,0.248381872629887
2018-04-05,0.22748822913575822,0.3556167037101316,0.30877297842048257,0.30877297842048257
2018-04-06,0.21967573438436,0.33194430603687175,0.2961298604616023,0.2961298604616023
2018-04-09,0.06258556095895627,0.0823481264591113,0.07305661464139615,0.07305661464139615
2018-04-10,0.10766285264517525,0.21670135875802687,0.17369496396387493,0.17369496396387493
2018-04-11,-0.08217670012708614,-0.07748111902989044,-0.08334575740409582,-0.08334575740409582
2018-04-12,-0.02697943667806896,0.044557073995487605,0.012327397746534621,0.012327397746534621
2018-04-13,-0.016052995931367775,0.06307867760648864,0.029548715369236988,0.029548715369236988
2018-04-16,-0.07623164389006769,-0.18503025993875233,-0.13727993176131995,-0.13727993176131995
2018-04-17,-0.05482183360357371,-0.20267017536434384,-0.1377815827857648,-0.1377815827857648
2018-04-18,-0.01611469149739646,-0.1732422131252055,-0.10614513786278316,-0.10614513786278316
2018-04-19,-0.020119920053297803,-0.16621837542478685,-0.09935883197378849,-0.09935883197378849
2018-04-20,-0.03722011760283391,-0.1898336176396022,-0.12416848933759748,-0.12416848933759748
2018-04-23,0.07891187608574332,0.028002060251149093,0.053555467267100164,0.053555467267100164
2018-04-24,0.025123867001830714,0.03894770433156607,0.03234760660543915,0.03234760660543915
2018-04-25,0.09660461923436535,0.06925181725493419,0.0939071900943884,0.0939071900943884
2018-04-26,0.13400377714587416,0.1701818443217644,0.1718574026898518,0.1718574026898518
2018-04-27,0.16027714411984761,0.24847348249329537,0.22571561904640733,0.22571561904640733
2018-04-30,0.2105995678622744,0.2798164002504119,0.267735152960252,0.267735152960252
2018-05-01,0.14620662264951167,0.2514744862381519,0.216411977054292,0.216411977054292
2018-05-02,0.09601901522287709,0.27581092369263427,0.2045739402314336,0.2045739402314336
2018-05-03,0.05609241055241636,0.214768087794918,0.15042373569387082,0.15042373569387082
